Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Dividend (Ordinary),03/07/2023 13:01,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.04,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Dividends paid by us corporations),03/07/2023 13:01,---,PEP,PepsiCo,0.0519458,1.08,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),04/07/2023 14:25,---,ADP,Automatic Data Processing,0.0459818,1.06,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Ordinary),04/07/2023 14:27,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.36,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Dividends paid by us corporations),06/07/2023 09:25,---,KMB,Kimberly-Clark,0.0689446,1,USD,Not available,,,0.06,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by foreign corporations),07/07/2023 13:04,---,CNQ,Canadian Natural Resources,0.177013,0.58,USD,Not available,,,0.09,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by foreign corporations),11/07/2023 10:22,---,CB,Chubb,0.0499825,0.86,USD,Not available,,,0.04,EUR,0,USD,,,,,,
Dividend (Dividends paid by us corporations),13/07/2023 08:01,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),14/07/2023 09:35,---,ITW,Illinois Tool Works,0.0427537,1.11,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),17/07/2023 11:48,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),17/07/2023 11:55,---,ADC,Agree Realty,0.15036,0.21,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),17/07/2023 11:56,---,BEN,Franklin Resources,0.395133,0.26,USD,Not available,,,0.09,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),17/07/2023 11:58,---,MAIN,Main Street Capital,0.247174,0.2,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by foreign corporations),17/07/2023 12:00,---,MDT,Medtronic,0.110636,0.52,USD,Not available,,,0.05,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),18/07/2023 11:10,---,ECL,Ecolab,0.0562499,0.45,USD,Not available,,,0.02,EUR,0,USD,,,,,,
Dividend (Dividends paid by us corporations),18/07/2023 11:12,---,CAH,Cardinal Health,0.121308,0.43,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),18/07/2023 11:15,---,STAG,STAG Industrial,0.289489,0.1,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),21/07/2023 07:31,---,PSEC,Prospect Capital,1.59682,0.05,USD,Not available,,,0.07,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),25/07/2023 10:15,---,ROP,Roper Technologies,0.0217058,0.58,USD,Not available,,,0.01,EUR,0,USD,,,,,,
Market buy,25/07/2023 17:36,---,T,AT&T,0.1825,14.76,USD,1.10397,,EUR,2.44,EUR,,,,,,---,,
Dividend (Ordinary),28/07/2023 13:02,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,35.37,GBX,Not available,,,0.05,EUR,0,GBX,,,,,,
Dividend (Ordinary),28/07/2023 13:05,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,0.04,GBP,Not available,,,0.02,EUR,0,GBP,,,,,,
Dividend (Ordinary),28/07/2023 13:06,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,0.15,EUR,Not available,,,0.03,EUR,0,EUR,,,,,,
Dividend (Ordinary),31/07/2023 08:35,---,BNS,Bank of Nova Scotia,0.205809,0.68,USD,Not available,,,0.13,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),31/07/2023 08:38,---,SYY,Sysco,0.133561,0.43,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),31/07/2023 15:21,---,LTC,LTC Properties,0.303182,0.16,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Ordinary),01/08/2023 11:42,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.05,GBP,Not available,,,0.06,EUR,0,GBP,,,,,,
Dividend (Dividends paid by us corporations),01/08/2023 11:46,---,JPM,JPMorgan Chase & Co,0.0726706,0.85,USD,Not available,,,0.06,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),01/08/2023 14:55,---,T,AT&T,0.583802,0.24,USD,Not available,,,0.13,EUR,0.02,USD,,,,,,
Dividend (Ordinary),02/08/2023 12:48,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.44,GBP,Not available,,,0.06,EUR,0,GBP,,,,,,
Dividend (Dividends paid by us corporations),09/08/2023 13:39,---,LOW,Lowe's,0.048028,0.94,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),09/08/2023 13:41,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),11/08/2023 14:02,---,GD,General Dynamics,0.0472356,1.12,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),11/08/2023 14:03,---,NUE,Nucor,0.0676597,0.43,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),14/08/2023 14:28,---,ADC,Agree Realty,0.15036,0.21,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),15/08/2023 14:04,---,MAIN,Main Street Capital,0.247174,0.2,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),15/08/2023 14:07,---,STAG,STAG Industrial,0.289489,0.1,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),15/08/2023 14:09,---,PG,Procter & Gamble,0.0644464,0.8,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),15/08/2023 14:09,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),17/08/2023 10:48,---,AAPL,Apple,0.0586541,0.2,USD,Not available,,,0.01,EUR,0,USD,,,,,,
Dividend (Ordinary),18/08/2023 11:38,---,BATS,British American Tobacco,0.27694413,57.72,GBX,Not available,,,0.19,EUR,0,GBX,,,,,,
Dividend (Dividends paid by us corporations),18/08/2023 11:41,---,CAT,Caterpillar,0.0461996,1.11,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),22/08/2023 08:21,---,PSEC,Prospect Capital,1.59682,0.05,USD,Not available,,,0.07,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by foreign corporations),24/08/2023 13:21,---,RY,Royal Bank of Canada,0.103431,0.85,USD,Not available,,,0.08,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),25/08/2023 15:04,---,SBUX,Starbucks,0.0948119,0.45,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by foreign corporations),28/08/2023 10:40,---,BMO,Bank of Montreal,0.115335,0.92,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Ordinary),30/08/2023 12:45,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,0.18,EUR,Not available,,,0.04,EUR,0,EUR,,,,,,
Dividend (Ordinary),30/08/2023 12:47,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,0.06,GBP,Not available,,,0.03,EUR,0,GBP,,,,,,
Dividend (Ordinary),31/08/2023 10:02,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.05,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Ordinary),31/08/2023 10:03,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.38,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Ordinary),31/08/2023 10:05,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,31.49,GBX,Not available,,,0.04,EUR,0,GBX,,,,,,
Dividend (Dividends paid by us corporations),31/08/2023 10:07,---,LTC,LTC Properties,0.303182,0.16,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),01/09/2023 12:19,---,GWW,WW Grainger,0.0144187,1.58,USD,Not available,,,0.02,EUR,0,USD,,,,,,
Dividend (Dividends paid by us corporations),01/09/2023 12:23,---,AFL,Aflac,0.146099,0.36,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),05/09/2023 09:02,---,WMT,Walmart,0.0660707,0.48,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),06/09/2023 08:45,---,ADM,Archer-Daniels-Midland,0.132068,0.38,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),07/09/2023 12:54,---,JNJ,Johnson & Johnson,0.0609233,1.01,USD,Not available,,,0.06,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),08/09/2023 13:22,---,SHW,Sherwin-Williams,0.0428752,0.51,USD,Not available,,,0.02,EUR,0,USD,,,,,,
Dividend (Dividends paid by us corporations),11/09/2023 13:14,---,CVX,Chevron,0.0631594,1.28,USD,Not available,,,0.08,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),11/09/2023 13:17,---,EMR,Emerson Electric,0.11698,0.44,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),12/09/2023 10:26,---,PPG,PPG Industries,0.0712662,0.55,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),12/09/2023 10:28,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),13/09/2023 11:11,---,IBM,IBM,0.0806047,1.41,USD,Not available,,,0.11,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),14/09/2023 11:46,---,ADC,Agree Realty,0.15036,0.21,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Ordinary),15/09/2023 13:01,---,RKT,Reckitt Benckiser,0.12319801,76.6,GBX,Not available,,,0.11,EUR,0,GBX,,,,,,
Dividend (Dividends paid by us corporations),15/09/2023 13:03,---,STAG,STAG Industrial,0.289489,0.1,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),15/09/2023 13:05,---,MAIN,Main Street Capital,0.247174,0.2,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),15/09/2023 13:08,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),18/09/2023 09:14,---,MCD,McDonald's,0.0338842,1.29,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),20/09/2023 09:13,---,PSEC,Prospect Capital,1.59682,0.05,USD,Not available,,,0.08,EUR,0.01,USD,,,,,,
Dividend (Ordinary),27/09/2023 11:54,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,0.16,EUR,Not available,,,0.03,EUR,0,EUR,,,,,,
Dividend (Ordinary),27/09/2023 11:58,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,0.05,GBP,Not available,,,0.02,EUR,0,GBP,,,,,,
Dividend (Ordinary),27/09/2023 12:10,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,40.28,GBX,Not available,,,0.05,EUR,0,GBX,,,,,,
Dividend (Dividends paid by us corporations),27/09/2023 12:13,---,MAIN,Main Street Capital,0.247174,0.23,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),28/09/2023 08:23,---,TROW,T Rowe Price,0.0941108,1.04,USD,Not available,,,0.09,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),29/09/2023 14:55,---,PEP,PepsiCo,0.0519458,1.08,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),29/09/2023 14:59,---,LTC,LTC Properties,0.303182,0.16,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Ordinary),29/09/2023 15:02,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.5,GBP,Not available,,,0.06,EUR,0,GBP,,,,,,
Dividend (Ordinary),29/09/2023 15:04,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.06,GBP,Not available,,,0.06,EUR,0,GBP,,,,,,
Dividend (Dividends paid by us corporations),03/10/2023 09:41,---,KMB,Kimberly-Clark,0.0689446,1,USD,Not available,,,0.07,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),04/10/2023 09:30,---,ADP,Automatic Data Processing,0.0459818,1.06,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by foreign corporations),05/10/2023 12:23,---,CNQ,Canadian Natural Resources,0.177013,0.56,USD,Not available,,,0.09,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by foreign corporations),06/10/2023 13:17,---,CB,Chubb,0.0499825,0.86,USD,Not available,,,0.04,EUR,0,USD,,,,,,
Dividend (Dividends paid by us corporations),11/10/2023 13:52,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),12/10/2023 12:30,---,ITW,Illinois Tool Works,0.0427537,1.19,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),13/10/2023 13:45,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by foreign corporations),13/10/2023 13:51,---,MDT,Medtronic,0.110636,0.52,USD,Not available,,,0.05,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),13/10/2023 13:58,---,ADC,Agree Realty,0.15036,0.21,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),13/10/2023 14:03,---,MAIN,Main Street Capital,0.247174,0.2,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),13/10/2023 14:11,---,BEN,Franklin Resources,0.395133,0.26,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),16/10/2023 12:19,---,CAH,Cardinal Health,0.121308,0.43,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),16/10/2023 12:27,---,STAG,STAG Industrial,0.289489,0.1,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividends paid by us corporations),16/10/2023 12:37,---,ECL,Ecolab,0.0562499,0.45,USD,Not available,,,0.02,EUR,0,USD,,,,,,
Limit sell,16/10/2023 14:31,---,LYP6,Amundi STOXX Europe 600 DR (Acc),1.5509343,204.3,EUR,1,0.22,EUR,316.86,EUR,,,,,,---,,
Market buy,16/10/2023 14:36,---,SXRV,iShares NASDAQ 100 (Acc),0.1477676,819.8,EUR,1,,EUR,121.14,EUR,,,,,,---,,
Market buy,16/10/2023 14:36,---,VUAA,Vanguard S&P 500 (Acc),2.047526,77.85,EUR,1,,EUR,159.4,EUR,,,,,,---,,
Market buy,16/10/2023 14:36,---,SGLN,iShares Physical Gold,1.07942836,3064,GBX,86.60299,,EUR,38.25,EUR,,,,,,---,0.06,EUR
Market sell,16/10/2023 14:36,---,SGLN,iShares Physical Gold,1.0750583,3063,GBX,86.58699,0.53,EUR,37.97,EUR,,,,,,---,0.06,EUR
Market sell,16/10/2023 14:36,---,VUAA,Vanguard S&P 500 (Acc),3.712283,77.82,EUR,1,23.18,EUR,288.89,EUR,,,,,,---,,
Market sell,16/10/2023 14:37,---,SGLN,iShares Physical Gold,0.02826865,3063,GBX,86.58687,0.01,EUR,1,EUR,,,,,,---,,
Market sell,16/10/2023 14:37,---,VUAA,Vanguard S&P 500 (Acc),0.012848,77.82,EUR,1,0.08,EUR,1,EUR,,,,,,---,,
Market buy,16/10/2023 14:37,---,SXRV,iShares NASDAQ 100 (Acc),0.3988165,819.7,EUR,1,,EUR,326.91,EUR,,,,,,---,,
Dividend (Dividends paid by us corporations),19/10/2023 12:04,---,PSEC,Prospect Capital,1.59682,0.05,USD,Not available,,,0.08,EUR,0.01,USD,,,,,,
Interest on cash,08:12.3,,,,,,,,,,0.01,EUR,,,,,---,---,,
Dividend (Dividends paid by us corporations),23/10/2023 14:30,---,ROP,Roper Technologies,0.0217058,0.58,USD,Not available,,,0.01,EUR,0,USD,,,,,,
Dividend (Ordinary),25/10/2023 12:04,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,0.05,GBP,Not available,,,0.02,EUR,0,GBP,,,,,,
Dividend (Ordinary),25/10/2023 12:17,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,0.16,EUR,Not available,,,0.03,EUR,0,EUR,,,,,,
Dividend (Ordinary),25/10/2023 12:18,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,34.47,GBX,Not available,,,0.05,EUR,0,GBX,,,,,,
Dividend (Dividends paid by foreign corporations),27/10/2023 13:01,---,BNS,Bank of Nova Scotia,0.205809,0.65,USD,Not available,,,0.13,EUR,0.02,USD,,,,,,
Dividend (Dividends paid by us corporations),27/10/2023 13:07,---,SYY,Sysco,0.133561,0.43,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),31/10/2023 14:10,---,JPM,JPMorgan Chase & Co,0.0726706,0.89,USD,Not available,,,0.06,EUR,0.01,USD,,,,,,
Dividend (Dividend),31/10/2023 14:27,---,LTC,LTC Properties,0.303182,0.16,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),31/10/2023 14:36,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.41,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Dividend),31/10/2023 14:40,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.05,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Dividend),01/11/2023 10:08,---,T,AT&T,0.766302,0.24,USD,Not available,,,0.17,EUR,0.03,USD,,,,,,
Dividend (Dividend),03/11/2023 11:32,---,BATS,British American Tobacco,0.27694413,57.72,GBX,Not available,,,0.18,EUR,0,GBX,,,,,,
Dividend (Dividend),08/11/2023 11:59,---,LOW,Lowe's,0.048028,0.94,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividend),09/11/2023 13:42,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividend),09/11/2023 13:44,---,NUE,Nucor,0.0676597,0.43,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),10/11/2023 14:49,---,GD,General Dynamics,0.0472356,1.12,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),14/11/2023 11:59,---,ADC,Agree Realty,0.15036,0.21,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/11/2023 13:31,---,MAIN,Main Street Capital,0.247174,0.2,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/11/2023 13:36,---,STAG,STAG Industrial,0.289489,0.1,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/11/2023 13:45,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/11/2023 13:50,---,PG,Procter & Gamble,0.0644464,0.8,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Limit sell,16/11/2023 08:00,---,SGLN,iShares Physical Gold,3.96815279,3091,GBX,87.59237,1.62,EUR,139.82,EUR,,,,,,---,0.21,EUR
Dividend (Dividend),16/11/2023 13:27,---,AAPL,Apple,0.0586541,0.2,USD,Not available,,,0.01,EUR,0,USD,,,,,,
Market sell,16/11/2023 13:43,---,SXRV,iShares NASDAQ 100 (Acc),0.5465841,827.7,EUR,1,4.36,EUR,452.41,EUR,,,,,,---,,
Limit sell,16/11/2023 13:45,---,VUAA,Vanguard S&P 500 (Acc),7.562036,77.78,EUR,1,46.91,EUR,588.18,EUR,,,,,,---,,
Deposit,23:39.4,,,,,,,,,,1,EUR,,,,,---,---,,
Interest on cash,09:10.9,,,,,,,,,,0.05,EUR,,,,,---,---,,
Interest on cash,08:45.4,,,,,,,,,,0.05,EUR,,,,,---,---,,
Interest on cash,09:08.6,,,,,,,,,,0.05,EUR,,,,,---,---,,
Interest on cash,08:37.5,,,,,,,,,,0.05,EUR,,,,,---,---,,
Dividend (Dividend),20/11/2023 13:18,---,CAT,Caterpillar,0.0461996,1.11,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),20/11/2023 13:22,---,PSEC,Prospect Capital,1.59682,0.05,USD,Not available,,,0.07,EUR,0.01,USD,,,,,,
Interest on cash,08:38.7,,,,,,,,,,0.04,EUR,,,,,---,---,,
Interest on cash,08:47.0,,,,,,,,,,0.05,EUR,,,,,---,---,,
Interest on cash,09:31.1,,,,,,,,,,0.05,EUR,,,,,---,---,,
Withdrawal,02:11.6,,,,,,,,,,-1183.76,EUR,,,,,---,---,,
Interest on cash,09:17.9,,,,,,,,,,0.01,EUR,,,,,---,---,,
Dividend (Dividend),24/11/2023 16:02,---,RY,Royal Bank of Canada,0.103431,0.84,USD,Not available,,,0.08,EUR,0.02,USD,,,,,,
Dividend (Dividend),24/11/2023 16:08,---,SBUX,Starbucks,0.0948119,0.48,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividend),28/11/2023 12:55,---,BMO,Bank of Montreal,0.115335,0.92,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividend),29/11/2023 12:25,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,0.06,GBP,Not available,,,0.03,EUR,0,GBP,,,,,,
Dividend (Dividend),29/11/2023 12:28,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,0.2,EUR,Not available,,,0.04,EUR,0,EUR,,,,,,
Dividend (Dividend),29/11/2023 12:31,---,SEMB,iShares J.P. Morgan USD EM Bond (Dist),0.11828538,33.16,GBX,Not available,,,0.05,EUR,0,GBX,,,,,,
Dividend (Dividend),30/11/2023 15:47,---,LTC,LTC Properties,0.303182,0.16,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividend),30/11/2023 15:51,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.05,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Dividend),30/11/2023 15:55,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.4,GBP,Not available,,,0.05,EUR,0,GBP,,,,,,
Dividend (Dividend),01/12/2023 15:05,---,GWW,WW Grainger,0.0144187,1.58,USD,Not available,,,0.02,EUR,0,USD,,,,,,
Dividend (Dividend),01/12/2023 15:23,---,AFL,Aflac,0.146099,0.36,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),05/12/2023 12:00,---,JNJ,Johnson & Johnson,0.0609233,1.01,USD,Not available,,,0.06,EUR,0.01,USD,,,,,,
Dividend (Dividend),06/12/2023 10:30,---,ADM,Archer-Daniels-Midland,0.132068,0.38,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),08/12/2023 13:22,---,SHW,Sherwin-Williams,0.0428752,0.51,USD,Not available,,,0.02,EUR,0,USD,,,,,,
Dividend (Dividend),11/12/2023 14:33,---,CVX,Chevron,0.0631594,1.28,USD,Not available,,,0.08,EUR,0.01,USD,,,,,,
Dividend (Dividend),11/12/2023 14:39,---,AGNC,AGNC Investment,1.05399,0.1,USD,Not available,,,0.1,EUR,0.02,USD,,,,,,
Dividend (Dividend),11/12/2023 14:45,---,EMR,Emerson Electric,0.11698,0.45,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),11/12/2023 14:51,---,IBM,IBM,0.0806047,1.41,USD,Not available,,,0.11,EUR,0.02,USD,,,,,,
Dividend (Dividend),12/12/2023 08:56,---,PPG,PPG Industries,0.0712662,0.55,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividend),14/12/2023 09:40,---,ADC,Agree Realty,0.15036,0.21,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/12/2023 15:02,---,MAIN,Main Street Capital,0.247174,0.2,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/12/2023 15:04,---,STAG,STAG Industrial,0.289489,0.1,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/12/2023 15:12,---,O,Realty Income,0.163422,0.22,USD,Not available,,,0.03,EUR,0.01,USD,,,,,,
Dividend (Dividend),15/12/2023 15:16,---,MCD,McDonald's,0.0338842,1.42,USD,Not available,,,0.04,EUR,0.01,USD,,,,,,
Dividend (Dividend),19/12/2023 10:44,---,PSEC,Prospect Capital,1.59682,0.05,USD,Not available,,,0.07,EUR,0.01,USD,,,,,,
Dividend (Dividend),27/12/2023 12:05,---,MAIN,Main Street Capital,0.247174,0.23,USD,Not available,,,0.05,EUR,0.01,USD,,,,,,
Dividend (Dividend),27/12/2023 12:10,---,VGOV,Vanguard U.K. Gilt (Dist),0.460736,0.05,GBP,Not available,,,0.03,EUR,0,GBP,,,,,,
Dividend (Dividend),27/12/2023 12:12,---,VUSC,Vanguard USD Corporate 1-3 Year Bond (Dist),0.205117,0.17,EUR,Not available,,,0.03,EUR,0,EUR,,,,,,
Dividend (Dividend),29/12/2023 15:28,---,TROW,T Rowe Price,0.0941108,1.04,USD,Not available,,,0.09,EUR,0.02,USD,,,,,,
Dividend (Dividend),29/12/2023 15:36,---,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.92102,0.06,GBP,Not available,,,0.06,EUR,0,GBP,,,,,,
Dividend (Dividend),29/12/2023 15:39,---,SSHY,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),0.109924,0.47,GBP,Not available,,,0.06,EUR,0,GBP,,,,,,
Deposit,50:30.6,,,,,,,,,,125,EUR,,,,,---,---,,
Market buy,51:52.3,---,O,Realty Income,0.049659,57.84,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.5,---,IBM,IBM,0.0175622,163.55,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.5,---,MCD,McDonald's,0.0096853,296.56,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
Market buy,51:52.6,---,CVX,Chevron,0.0192384,149.3,USD,1.10472,,EUR,2.6,EUR,,,,,,---,,
