Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,03/05/2023 14:02,---,BNS,Bank of Nova Scotia,0.183688,48.67,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,SBUX,Starbucks,0.084468,105.84,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,CB,Chubb,0.0445534,200.66,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,SHW,Sherwin-Williams,0.0381322,234.45,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,ROP,Roper Technologies,0.0193232,462.66,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,SYY,Sysco,0.118757,75.28,USD,1.1037,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,MCD,McDonald's,0.0301744,296.28,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,PPG,PPG Industries,0.0633017,141.23,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,ADC,Agree Realty,0.133934,66.75,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,PG,Procter & Gamble,0.0573671,155.84,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,PSEC,Prospect Capital,1.42131,6.29,USD,1.1037,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,GWW,WW Grainger,0.0128195,697.38,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,VGOV,Vanguard U.K. Gilt (Dist),0.410403,17.41,GBP,0.88198,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,IBM,IBM,0.071578,124.9,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,ITW,Illinois Tool Works,0.0379589,235.52,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,ADM,Archer-Daniels-Midland,0.11754,76.06,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,RKT,Reckitt Benckiser,0.10980081,6474,GBX,88.19484,,EUR,8.11,EUR,,,0.04,EUR,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,BATS,British American Tobacco,0.21998861,2900,GBX,88.23886,,EUR,7.28,EUR,,,0.04,EUR,,---,0.01,EUR
Market buy,03/05/2023 14:02,---,ECL,Ecolab,0.0499726,178.9,USD,1.10371,,EUR,8.11,EUR,,,,,,---,0.01,EUR
